nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
UD. Alif Pamungkas,Kesehatan,1.0,56.0,5497149.0,3347794.0,Tokopedia,479.0,Belum Terdaftar,2015.0,-2149355.0,171000000.0,479.0
UD. Zidanar Panji,Perdagangan,5.0,44.0,7398384.0,39969661.0,Bukalapak,464.0,Terdaftar,2014.0,32571277.0,147000000.0,464.0
UD. Winda Jayengprana,Jasa,74.0,51.0,8881762.0,25253355.0,Website Sendiri,383.0,Belum Terdaftar,2000.0,16371593.0,375000000.0,383.0
UD. Damaris Satria,Jasa,89.0,5.0,9576178.0,20700389.0,Website Sendiri,986.0,Belum Terdaftar,2003.0,11124211.0,282000000.0,986.0
UD. Qasya Wiratama,Jasa,91.0,59.0,9456853.0,4820810.0,Lazada,314.0,Belum Terdaftar,2002.0,-4636043.0,450000000.0,314.0
UD. Grego Wiraatmaja Nara,Jasa,76.0,36.0,9072119.0,19297316.0,Bukalapak,661.0,Belum Terdaftar,2000.0,10225197.0,336000000.0,661.0
UD. Mika Bagaskara,Perdagangan,37.0,53.0,8132674.0,4699257.0,Lazada,714.0,Terdaftar,2003.0,-3433417.0,270000000.0,640.8
UD. Yora Selaras,Kesehatan,75.0,3.0,7072036.0,16709414.0,Tokopedia,460.0,Belum Terdaftar,2009.0,9637378.0,234000000.0,460.0
UD. Wenny Langit,Jasa,82.0,82.0,2745878.0,41074351.0,Shopee,120.0,Belum Terdaftar,2000.0,39104489.0,492000000.0,120.0
UD. Fani Wijaya,Jasa,17.0,46.0,8136758.0,42552398.0,Website Sendiri,871.0,Belum Terdaftar,2006.0,34415640.0,189000000.0,871.0
UD. Karim Asmaralaya,Perdagangan,18.000000000000004,84.0,7862540.0,4911505.0,Bukalapak,736.0,Terdaftar,2014.0,-2951035.0,306000000.0,736.0
UD. Jafar Gandewa,Pendidikan,27.0,36.0,9106010.0,43942442.0,Tokopedia,580.0,Belum Terdaftar,2008.0,34836432.0,189000000.0,580.0
UD. Elyas Wiraatmaja,Perdagangan,11.0,81.0,4557522.0,21622680.0,Bukalapak,593.0,Belum Terdaftar,2015.0,17065158.0,276000000.0,593.0
UD. Erlangga Wiyata,Kesehatan,95.0,41.0,1961437.0,11702080.0,Website Sendiri,26.0,Belum Terdaftar,2004.0,9740643.0,408000000.0,26.0
UD. Hasna Saputranegara,Kesehatan,51.0,47.0,606340.0,13250815.0,Shopee,143.0,Belum Terdaftar,2019.0,12644475.0,294000000.0,143.0
UD. Halim Surya,Jasa,76.0,99.0,5782560.0,19091583.0,Tokopedia,581.0,Belum Terdaftar,2000.0,13309023.0,525000000.0,581.0
UD. Farhan Mulyo,Pendidikan,86.0,60.0,7888385.0,42399115.0,Website Sendiri,321.0,Belum Terdaftar,2009.0,34510730.0,438000000.0,321.0
UD. Farhan Sukadarma,Perdagangan,99.0,61.0,1242635.0,43856444.0,Tokopedia,661.0,Belum Terdaftar,2016.0,42613809.0,480000000.0,661.0
UD. Qisha Saprahan,Perdagangan,57.0,54.0,8835217.0,49273062.0,Bukalapak,542.0,Belum Terdaftar,2022.0,40437845.0,333000000.0,542.0
UD. Tasya Tunggul,Kesehatan,93.0,31.6,8613350.0,38233714.0,Website Sendiri,852.0,Terdaftar,2024.0,29620364.0,387000000.0,852.0
UD. Yudi Kamajaya,Pendidikan,21.0,14.0,6784828.0,14384473.0,Website Sendiri,203.0,Terdaftar,2018.0,7599645.0,105000000.0,203.0
UD. Putri Wiraatmaja Rafif,Perdagangan,44.0,58.0,4791730.0,32643551.6,Website Sendiri,904.0,Terdaftar,2016.0,27949766.0,306000000.0,904.0
UD. Olivia Kusumasari,Pendidikan,61.0,62.0,7010703.0,33753747.0,Shopee,669.0,Terdaftar,2020.0,26743044.0,369000000.0,669.0
UD. Dea Tunggul Ziva,Perdagangan,41.0,65.0,3938582.0,46254838.0,Website Sendiri,841.0,Terdaftar,2014.0,42316256.0,318000000.0,841.0
UD. Iqra Panji,Pendidikan,66.0,41.0,4765067.0,35105093.0,Tokopedia,633.0,Belum Terdaftar,2002.0,30340026.0,321000000.0,633.0
UD. Tono Surapati,Kesehatan,8.0,30.0,5623602.0,35927094.0,Website Sendiri,285.0,Terdaftar,2009.0,30303492.0,114000000.0,285.0
UD. Qisha Kusumah,Perdagangan,63.0,5.0,5902996.0,42314822.0,Shopee,104.0,Terdaftar,2013.0,36411826.0,204000000.0,104.00000000000006
UD. Tari Jayeng,Pendidikan,14.0,18.0,6031918.0,20499344.0,Shopee,173.0,Terdaftar,2016.0,14467426.0,96000000.0,173.0
UD. Uli Widhi,Jasa,29.0,37.0,3991688.0,5435097.0,Bukalapak,327.0,Belum Terdaftar,2016.0,1443409.0,198000000.0,327.0
UD. Clarissa Cahaya,Kesehatan,25.0,78.0,1501659.9999999995,15602357.0,Tokopedia,545.0,Terdaftar,2005.0,14100697.0,309000000.0,545.0
UD. Nisa Hastinapura,Pendidikan,93.0,32.0,3956511.0,23171998.0,Lazada,991.0,Belum Terdaftar,2012.0,19215487.0,375000000.0,991.0
UD. Chiko Suryaatmaja,Perdagangan,68.0,89.0,2523098.0,3962038.0,Tokopedia,914.0,Terdaftar,2006.0,1438940.0,471000000.0,914.0
UD. Damar Panji,Kesehatan,94.0,52.0,3862258.0,2895777.0,Lazada,195.0,Belum Terdaftar,2008.0,-966481.0,438000000.0,195.0
UD. Qayla Sukarela,Kesehatan,21.0,29.0,6665713.6,36832017.0,Tokopedia,58.0,Terdaftar,2015.0,30437016.0,150000000.0,58.0
UD. Kinan Buana,Perdagangan,53.0,74.0,8687490.0,22517544.0,Website Sendiri,218.0,Belum Terdaftar,2004.0,13830054.0,381000000.0,218.0
UD. Niken Lintang,Jasa,57.0,64.0,2003545.0,21451451.0,Lazada,235.0,Belum Terdaftar,2016.0,19447906.0,363000000.0,235.0
UD. Lidya Pamungkas,Jasa,78.0,13.0,8284243.0,24895018.0,Tokopedia,190.0,Belum Terdaftar,2000.0,16610775.0,273000000.0,190.0
UD. Farid Agastya,Pendidikan,52.0,9.0,1435120.0,3900557.0,Bukalapak,788.0,Belum Terdaftar,2008.0,2465437.0,183000000.0,788.0
UD. Yumna Sentosa,Perdagangan,98.0,16.0,3298391.0,6939332.0,Shopee,399.0,Belum Terdaftar,2024.0,3640941.0,342000000.0,399.0
UD. Yusuf Suryaputra,Fashion,18.000000000000004,74.0,6119793.0,19493654.0,Tokopedia,964.0,Belum Terdaftar,2017.0,13373861.0,276000000.0,964.0
UD. Krisna Trisula,Fashion,33.0,14.0,8313438.0,20043328.0,Tokopedia,956.0,Terdaftar,2017.0,11729890.0,141000000.0,956.0
UD. Heri Wiyata,Makanan & Minuman,81.0,75.0,3281572.0,8348563.0,Shopee,186.0,Terdaftar,2012.0,5066991.0,468000000.0,186.0
UD. Anang Baswara,Makanan & Minuman,13.0,2.0,5316536.0,47636417.0,Lazada,608.0,Terdaftar,2008.0,42319881.0,44999999.99999997,608.0
UD. Gilang Galang,Makanan & Minuman,21.0,21.0,5753490.0,41790652.0,Lazada,505.0,Terdaftar,2020.0,36037162.0,126000000.0,505.0
UD. Sekar Trijaya,Fashion,87.0,55.0,1564818.0000000005,3613229.0,Website Sendiri,122.0,Terdaftar,2006.0,2048411.0,426000000.0,122.00000000000006
UD. Diyan Prawira,Perdagangan,12.0,58.0,1537363.0,29509796.0,Website Sendiri,768.0,Terdaftar,2004.0,27972433.0,210000000.0,768.0
UD. Fajar Darussalam Lukita,Jasa,63.0,25.0,4279679.0,14336128.0,Website Sendiri,130.0,Belum Terdaftar,2023.0,10056449.0,264000000.0,130.0
UD. Yumna Wira,Perdagangan,55.0,49.0,9483812.0,15051081.0,Bukalapak,952.0,Terdaftar,2007.0,5567269.0,312000000.0,952.0
UD. Sani Segar,Makanan & Minuman,71.0,86.0,4595843.0,48877366.0,Shopee,822.0,Terdaftar,2022.0,44281523.0,471000000.0,822.0
UD. Nazar Baruna,Perdagangan,41.0,79.0,8471642.0,19591921.0,Lazada,58.0,Belum Terdaftar,2000.0,11120279.0,360000000.0,58.0
UD. Nazar Dwijaputra Dito,Fashion,65.0,60.0,6367533.0,16430952.0,Tidak Ada,177.0,Terdaftar,2000.0,10063419.0,375000000.0,177.0
UD. Lutfi Reswara,Makanan & Minuman,62.0,54.0,2253804.0,21170169.0,Website Sendiri,227.0,Terdaftar,2023.0,18916365.0,348000000.0,227.0
