id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,laba_negatif,omset_bin_temp,total_tenaga_kerja,usia_usaha,profit_margin,roa,asset_turnover
28828567.0,UD. Alif Pamungkas,Kesehatan,1,56,5497149.0,3347794.0,Tokopedia,479,Belum Terdaftar,2015,-2149355.0,171000000.0,479,1,Rendah,57,10,-0.6420210914945509,-0.3909944243835442,0.6090053937040103
28828568.0,UD. Zidanar Panji,Perdagangan,5,44,7398384.0,39969661.0,Bukalapak,464,Terdaftar,2014,32571277.0,147000000.0,464,0,Tinggi,49,11,0.8148999858943016,4.402484731465043,5.4024845963004084
28828569.0,UD. Winda Jayengprana,Jasa,74,51,8881762.0,25253355.0,Website Sendiri,383,Belum Terdaftar,2000,16371593.0,375000000.0,383,0,Sedang,125,25,0.6482937554913494,1.8432819024781455,2.843281789887886
28828570.0,UD. Damaris Satria,Jasa,89,5,9576178.0,20700389.0,Website Sendiri,986,Belum Terdaftar,2003,11124211.0,282000000.0,986,0,Sedang,94,22,0.537391372819546,1.1616544552895263,2.161654350863742
28828571.0,UD. Qasya Wiratama,Jasa,91,59,9456853.0,4820810.0,Lazada,314,Belum Terdaftar,2002,-4636043.0,450000000.0,314,1,Rendah,150,23,-0.961672838864664,-0.49023100071123016,0.5097688935453587
28828572.0,UD. Grego Wiraatmaja Nara,Jasa,76,36,9072119.0,19297316.0,Bukalapak,661,Belum Terdaftar,2000,10225197.0,336000000.0,661,0,Sedang,112,25,0.5298766144537088,1.1271011626830334,2.1271010524552145
28828573.0,UD. Mika Bagaskara,Perdagangan,37,53,8132674.0,4699257.0,Lazada,714,Terdaftar,2003,-3433417.0,270000000.0,714,1,Rendah,90,22,-0.7306296015243258,-0.42217560642715957,0.577824270612068
28828574.0,UD. Yora Selaras,Kesehatan,75,3,7072036.0,16709414.0,Tokopedia,460,Belum Terdaftar,2009,9637378.0,234000000.0,460,0,Rendah,78,16,0.5767633397099778,1.3627442842847117,2.3627441428827365
28828575.0,UD. Wenny Langit,Jasa,82,82,2745878.0,41850367.0,Shopee,120,Belum Terdaftar,2000,39104489.0,492000000.0,120,0,Tinggi,164,25,0.9343881755113838,14.241155200210935,15.241154836028826
28828576.0,UD. Fani Wijaya,Jasa,17,46,8136758.0,42552398.0,Website Sendiri,871,Belum Terdaftar,2006,34415640.0,189000000.0,871,0,Tinggi,63,19,0.8087826023627951,4.229649667637938,5.229649544738882
28828577.0,UD. Karim Asmaralaya,Perdagangan,18,84,7862540.0,4911505.0,Bukalapak,736,Terdaftar,2014,-2951035.0,306000000.0,736,1,Rendah,102,11,-0.600841167658148,-0.3753284084623533,0.6246714643523004
28828578.0,UD. Jafar Gandewa,Pendidikan,27,36,9106010.0,43942442.0,Tokopedia,580,Belum Terdaftar,2008,34836432.0,189000000.0,580,0,Tinggi,63,17,0.7927741295585228,3.8256523081292126,4.8256521983116425
28828579.0,UD. Elyas Wiraatmaja,Perdagangan,11,81,4557522.0,21622680.0,Bukalapak,593,Belum Terdaftar,2015,17065158.0,276000000.0,593,0,Sedang,92,10,0.7892248884400598,3.744393171466167,4.744392952048734
